year,gdp_growth,inflation,oil_rents_pct_gdp,gdp_per_capita_usd,unemployment_rate,oil_production_kbd,poverty_rate,latam_gdp_growth,latam_inflation
1990,6.5,40.7,22.8,4420,10.4,2260,,0.5,
1991,9.7,34.2,20.1,4789,9.5,2500,,3.7,
1992,6.1,31.9,17.5,5013,7.8,2370,,2.8,
1993,0.3,45.9,13.9,4958,6.6,2390,,3.4,
1994,-2.3,60.8,12.7,4757,8.7,2580,62.0,4.8,
1995,4.0,59.9,17.4,4917,10.2,2730,,0.9,
1996,-0.2,99.9,24.1,4832,11.8,3120,69.4,3.5,
1997,6.4,50.0,26.2,5136,11.4,3160,,5.2,
1998,0.3,35.8,10.0,5077,11.3,3000,49.0,2.0,
1999,-6.0,23.6,19.1,4738,15.0,3100,49.4,0.5,
2000,3.7,16.2,25.3,4791,13.9,3240,,3.9,
2001,3.4,12.5,16.2,4861,13.3,3200,48.6,0.4,
2002,-8.9,22.4,21.8,4396,15.8,2890,48.6,-0.6,
2003,-7.8,31.1,31.1,4052,18.0,2540,55.1,2.1,
2004,18.3,21.7,37.6,4760,15.3,3060,53.1,6.0,
2005,10.3,16.0,34.1,5182,12.4,3250,37.9,4.7,
2006,9.9,13.7,21.2,5590,10.0,3200,30.2,5.7,
2007,8.8,18.7,18.1,5983,8.5,3150,28.5,5.8,
2008,5.3,30.4,12.2,6244,7.4,3200,27.5,4.2,
2009,-3.2,27.1,11.8,5969,7.8,2900,24.0,-1.5,
2010,-1.5,28.2,13.1,5830,8.5,2840,25.4,5.8,5.5
2011,4.2,26.1,17.1,6023,8.3,2820,24.8,4.5,6.8
2012,5.6,21.1,15.4,6322,7.8,2880,21.2,2.9,5.9
2013,1.3,40.6,12.8,6369,7.5,2780,19.7,2.8,7.2
2014,-3.9,62.2,10.2,6031,7.2,2670,25.4,1.3,11.4
2015,-6.2,121.7,5.8,5547,7.4,2620,33.1,0.3,8.3
2016,-17.0,254.9,1.8,4523,21.2,2370,,-0.6,6.3
2017,-15.7,438.1,2.3,3734,26.4,2030,,1.3,6.1
2018,-19.6,65374.1,1.5,2917,34.9,1550,,1.0,5.9
2019,-27.7,19906.0,2.1,2103,44.3,870,,-0.1,6.4
2020,-30.0,2355.1,1.0,1451,50.3,570,94.5,-6.8,6.5
2021,0.5,1588.5,2.8,1451,48.1,600,93.3,6.9,9.8
2022,12.0,222.3,4.5,1581,40.5,720,81.5,3.9,10.2
2023,5.0,360.0,5.2,1625,35.2,780,82.8,2.1,4.8
2024,5.3,254.9,4.8,1680,30.1,820,83.0,2.2,4.5
